Country,Provider,Type,plan name,data amount (IN MB),cost,currency,plan frequency,additional field info,Conversion Factor to Euro,Cost in Euro,data_amount_MB_numeric,Size_GB,Price_per_GB,plan_frequency_days,updated_dtm
Germany,Airhub,Roaming,Germany 10GB 30 Days,10240,21,USD,30 Days,,0.86,18.06,10240,10,1.81,30,2026-01-11
Germany,Airhub,Roaming,Germany Unlimited 10 Days,,33,USD,10 Days,,0.86,28.38,,,,10,2026-01-11
Germany,Airhub,Roaming,Germany Unlimited 15 Days,,46,USD,15 Days,,0.86,39.56,,,,15,2026-01-11
Germany,Airhub,Roaming,Germany Unlimited 30 Days,,63,USD,30 Days,,0.86,54.18,,,,30,2026-01-11
Germany,ALDI TALK,Domestic,Tarif S,25600,9.99,EUR,4 weeks,"5G included, Up to 50 Mbit/s, Unlimited calls and SMS within Germany and EU, EU-wide data flat, After data volume is used: max. 64 kbit/s",1,9.99,25600,25,0.4,30,2026-01-11
Germany,ALDI TALK,Domestic,Tarif M,51200,,EUR,4 weeks,"5G included, Up to 100 Mbit/s, Unlimited calls and SMS within Germany and EU, EU-wide data flat, After data volume is used: max. 64 kbit/s",1,,51200,50,,30,2026-01-11
Germany,ALDI TALK,Domestic,Tarif L,102400,,EUR,4 weeks,"5G included, Up to 150 Mbit/s, Unlimited calls and SMS within Germany and EU, EU-wide data flat, After data volume is used: max. 64 kbit/s",1,,102400,100,,30,2026-01-11
Germany,ALDI TALK,Domestic,Jahres-Paket XS,40960,,EUR,365 days,"Includes unlimited calls and SMS within Germany and the EU. Data volume is available immediately after activation. After the data volume is used up, speed is reduced to 64 kbit/s. EU-wide data flat.",1,,40960,40,,365,2026-01-11
Germany,ALDI TALK,Domestic,Jahres-Paket S,204800,,EUR,365 days,"Includes unlimited calls and SMS within Germany and the EU. Data volume is available immediately after activation. After the data volume is used up, speed is reduced to 64 kbit/s. EU-wide data flat.",1,,204800,200,,365,2026-01-11
Germany,ALDI TALK,Domestic,Jahres-Paket L,358400,,EUR,365 days,"Includes unlimited calls and SMS within Germany and the EU. Data volume is available immediately after activation. After the data volume is used up, speed is reduced to 64 kbit/s. EU-wide data flat.",1,,358400,350,,365,2026-01-11
Germany,ALDI TALK,Domestic,Tarif S,25600,9.99,€,4 Wochen,"Max. Geschwindigkeit: Bis zu 50 Mbit/s (5G), Unbegrenzt oft 1 GB kostenlos nachbuchbar, FLAT Minuten & SMS, EU-Roaming inklusive, Rufnummernmitnahmebonus: 10 €",1,9.99,25600,25,0.4,4 Wochen,2026-01-11
Germany,ALDI TALK,Domestic,Tarif M,51200,14.99,€,4 Wochen,"Max. Geschwindigkeit: Bis zu 100 Mbit/s (5G), Unbegrenzt oft 1 GB kostenlos nachbuchbar, FLAT Minuten & SMS, EU-Roaming inklusive, Rufnummernmitnahmebonus: 10 €",1,14.99,51200,50,0.3,4 Wochen,2026-01-11
Germany,ALDI TALK,Domestic,Tarif L,102400,19.99,€,4 Wochen,"Max. Geschwindigkeit: Bis zu 150 Mbit/s (5G), Unbegrenzt oft 1 GB kostenlos nachbuchbar, FLAT Minuten & SMS, EU-Roaming inklusive, Rufnummernmitnahmebonus: 10 €",1,19.99,102400,100,0.2,4 Wochen,2026-01-11
Germany,Alodata,Domestic,1 GB Data for 7 Days,1024,2.61,EUR,7 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 5.0 (91 reviews)",1,2.61,1024,1,2.61,7,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 1 Day,,3.48,EUR,1 Day,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 5.0 (247 reviews)",1,3.48,,,,1,2026-01-11
Germany,Alodata,Domestic,2 GB Data for 15 Days,2048,3.48,EUR,15 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 5.0 (32 reviews)",1,3.48,2048,2,1.74,15,2026-01-11
Germany,Alodata,Domestic,3 GB Data for 30 Days,3072,4.35,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 4.5 (234 reviews)",1,4.35,3072,3,1.45,30,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 3 Days,,6.09,EUR,3 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 4.5 (43 reviews)",1,6.09,,,,3,2026-01-11
Germany,Alodata,Domestic,5 GB Data for 30 Days,5120,6.96,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 5.0 (90 reviews)",1,6.96,5120,5,1.39,30,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 5 Days,,10.44,EUR,5 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 5.0 (22 reviews)",1,10.44,,,,5,2026-01-11
Germany,Alodata,Domestic,10 GB Data for 30 Days,10240,11.31,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 5.0 (81 reviews)",1,11.31,10240,10,1.13,30,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 7 Days,,13.92,EUR,7 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 4.5 (218 reviews)",1,13.92,,,,7,2026-01-11
Germany,Alodata,Domestic,20 GB Data for 30 Days,20480,18.28,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 5.0 (71 reviews)",1,18.28,20480,20,0.91,30,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 10 Days,,19.15,EUR,10 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 5.0 (210 reviews)",1,19.15,,,,10,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 15 Days,,28.72,EUR,15 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 5.0 (111 reviews)",1,28.72,,,,15,2026-01-11
Germany,Alodata,Domestic,50 GB Data for 30 Days,51200,39.16,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 5.0 (234 reviews)",1,39.16,51200,50,0.78,30,2026-01-11
Germany,Alodata,Domestic,Unlimited GB Data for 30 Days,,54.83,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart, Unlimited); Rating: 4.5 (187 reviews)",1,54.83,,,,30,2026-01-11
Germany,Alodata,Domestic,100 GB Data for 30 Days,102400,75.71,EUR,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (Autostart); Rating: 4.5 (54 reviews)",1,75.71,102400,100,0.76,30,2026-01-11
Germany,Alodata,Domestic,1 GB Data for 7 Days,1024,2.61,€,7 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,2.61,1024,1,2.61,7,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 1 Day,,3.48,€,1 Day,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,3.48,,,,1,2026-02-11
Germany,Alodata,Domestic,2 GB Data for 15 Days,2048,3.48,€,15 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,3.48,2048,2,1.74,15,2026-02-11
Germany,Alodata,Domestic,3 GB Data for 30 Days,3072,4.35,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,4.35,3072,3,1.45,30,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 3 Days,,6.09,€,3 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,6.09,,,,3,2026-02-11
Germany,Alodata,Domestic,5 GB Data for 30 Days,5120,6.96,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,6.96,5120,5,1.39,30,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 5 Days,,10.44,€,5 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,10.44,,,,5,2026-02-11
Germany,Alodata,Domestic,10 GB Data for 30 Days,10240,11.31,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,11.31,10240,10,1.13,30,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 7 Days,,13.92,€,7 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,13.92,,,,7,2026-02-11
Germany,Alodata,Domestic,20 GB Data for 30 Days,20480,18.28,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,18.28,20480,20,0.91,30,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 10 Days,,19.15,€,10 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,19.15,,,,10,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 15 Days,,28.72,€,15 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,28.72,,,,15,2026-02-11
Germany,Alodata,Domestic,50 GB Data for 30 Days,51200,39.16,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,39.16,51200,50,0.78,30,2026-02-11
Germany,Alodata,Domestic,Unlimited GB Data for 30 Days,,54.83,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart, Unlimited); Coverage: Germany",1,54.83,,,,30,2026-02-11
Germany,Alodata,Domestic,100 GB Data for 30 Days,102400,75.71,€,30 Days,"Networks: O2, O2 Germany, Vodafone Germany; Speed: 2G, 4G, 5G (No throttling); Activation: Instant (Autostart); Coverage: Germany",1,75.71,102400,100,0.76,30,2026-02-11
Germany,Alosim,Domestic,1GB Plan,1024,4.5,USD,7 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,3.87,1024,1,3.87,7,2026-01-11
Germany,Alosim,Domestic,2GB Plan (Most Popular),2048,6.5,USD,15 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,5.59,2048,2,2.8,15,2026-01-11
Germany,Alosim,Domestic,3GB Plan,3072,9,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,7.74,3072,3,2.58,30,2026-01-11
Germany,Alosim,Domestic,5GB Plan,5120,13,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,11.18,5120,5,2.24,30,2026-01-11
Germany,Alosim,Domestic,10GB Plan,10240,19,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,16.34,10240,10,1.63,30,2026-01-11
Germany,Alosim,Domestic,20GB Plan (Best Value),20480,26,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,22.36,20480,20,1.12,30,2026-01-11
Germany,Alosim,Domestic,Unlimited Plan,,35,USD,10 days,"Unlimited* (Fair usage: 1.5GB high-speed per day, then speed drops to 512 KBPS until next day), Network: Vodafone, Speed: LTE, Includes a free international phone number, No surprise fees or roaming charges",0.86,30.1,,,,10,2026-01-11
Germany,Alosim,Domestic,1GB Plan,1024,4.5,USD,7 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,3.87,1024,1,3.87,7,2026-02-11
Germany,Alosim,Domestic,2GB Plan (Most Popular),2048,6.5,USD,15 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,5.59,2048,2,2.8,15,2026-02-11
Germany,Alosim,Domestic,3GB Plan,3072,9,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,7.74,3072,3,2.58,30,2026-02-11
Germany,Alosim,Domestic,5GB Plan,5120,13,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,11.18,5120,5,2.24,30,2026-02-11
Germany,Alosim,Domestic,10GB Plan,10240,19,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,16.34,10240,10,1.63,30,2026-02-11
Germany,Alosim,Domestic,20GB Plan (Best Value),20480,26,USD,30 days,"Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,22.36,20480,20,1.12,30,2026-02-11
Germany,Alosim,Domestic,Unlimited Plan,,35,USD,10 days,"Unlimited* (Fair usage: 1.5GB high-speed per day, then speed drops to 512kbps). Network: Vodafone, Speed: LTE, Includes a free international phone number. No surprise fees or roaming charges.",0.86,30.1,,,,10,2026-02-11
Germany,Always Mobile,Domestic,Germany 1GB 7Days,1024,2.95,EUR,7Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,2.95,1024,1,2.95,7,2026-01-11
Germany,Always Mobile,Domestic,Germany 3GB 15Days,3072,,EUR,15Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,3072,3,,15,2026-01-11
Germany,Always Mobile,Domestic,Germany 3GB 30Days,3072,,EUR,30Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,3072,3,,30,2026-01-11
Germany,Always Mobile,Domestic,Germany 5GB 30Days,5120,,EUR,30Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,5120,5,,30,2026-01-11
Germany,Always Mobile,Domestic,Germany 10GB 30Days,10240,,EUR,30Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,10240,10,,30,2026-01-11
Germany,Always Mobile,Domestic,Germany 20GB 30Days,20480,,EUR,30Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,20480,20,,30,2026-01-11
Germany,Always Mobile,Domestic,Germany 50GB 30Days,51200,,EUR,30Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,51200,50,,30,2026-01-11
Germany,Always Mobile,Domestic,Germany 50GB 180Days,51200,,EUR,180Days,"Data Speed: Up to 5G, Top Up Available: Yes, Data Only: Yes, SMS: No, Calls: No, only through apps (VOIP), Device Compatibility: Check compatibility on their website, Pre-Activation Days: 180 Days, Data Exit Country: UK, Norway, Hotspot: Yes, Speed Reduction: No, Coverage: Germany (DE), Networks: Vodafone 5G, O2 5G",1,,51200,50,,180,2026-01-11
Germany,Amigosim,Domestic,Germany 1GB Data Only,1024,5,EUR,7 Days,Local eSIM for Germany,1,5,1024,1,5,7,2026-01-11
Germany,Amigosim,Domestic,"Germany 6GB Data, Texts, and Calls",6144,11,EUR,30 Days,Local eSIM for Germany,1,11,6144,6,1.83,30,2026-01-11
Germany,Amigosim,Domestic,"Germany 12GB Data, Texts, and Calls",12288,18,EUR,30 Days,Local eSIM for Germany,1,18,12288,12,1.5,30,2026-01-11
Germany,Amigosim,Domestic,"Germany 18GB Data, Texts, and Calls",18432,23,EUR,30 Days,Local eSIM for Germany. Best value,1,23,18432,18,1.28,30,2026-01-11
Germany,Amigosim,Domestic,"Germany 30GB Data, Texts, and Calls",30720,39,EUR,30 Days,Local eSIM for Germany,1,39,30720,30,1.3,30,2026-01-11
Germany,AY YILDIZ,Domestic,Smart Starter,4096,4.99,€,4 weeks,"Flat Telefónica DE, 120 Min. DE & TR Festnetz, eSIM fähig",1,4.99,4096,4,1.25,30,2026-01-11
Germany,AY YILDIZ,Domestic,aystar,,0,€,one-off,"15 Ct/Min. DE Netze & TR Mobil, 9 Ct/Min. Telefónica Netz, 5 Ct/Min. TR Festnetz, 29 Ct/MB mobiles Internet, SIM-Karte einmalig 4,99€ (includes 10 € start credit)",1,0,,,,1,2026-01-11
Germany,AY YILDIZ,Domestic,Smart XS,15360,9.99,€,4 weeks,"Flat DE, 200 Min. TR Festnetz, 30 Min. TR Mobil & EU",1,9.99,15360,15,0.67,30,2026-01-11
Germany,AY YILDIZ,Domestic,Smart S,24576,12.49,€,4 weeks,"Flat DE, 250 Min. TR Festnetz, 40 Min. TR Mobil & EU",1,12.49,24576,24,0.52,30,2026-01-11
